ID,COMMUNITY.AREA.NAME,BUILDING_SUBTYPE,TOTAL.KWH,THERMS.TOTAL.SQFT,KWH.MEAN.2010,THERM.MEAN.2010,THERMS.SQFT.MEAN.2010,Age_Group
3,Forest Glen,Single Family,59821,7728,8545.86,1478.71,1104,Middle2
4,Albany Park,Single Family,79663,10840,9957.88,1642.22,1204.44,Middle3
11,West Pullman,Single Family,37984,5724,9496,1123,1144.8,Middle3
20,Albany Park,Single Family,51150,3726,12787.5,1421.75,1242,Middle3
23,Albany Park,Single Family,62994,7663,8999.14,1517.14,1094.71,Middle3
33,Albany Park,Single Family,69286,7711,11547.67,1651,1285.17,Middle3
39,Albany Park,Single Family,7676,3386,2558.67,1256,1128.67,Ancient
41,Albany Park,Single Family,36171,6176,7234.2,1802,1235.2,Middle2
42,Albany Park,Single Family,120511,21749,7088.88,1373.18,1279.35,Middle3
52,Albany Park,Single Family,96791,18622,6452.73,1169,1241.47,Middle3
54,Albany Park,Single Family,150078,19607,9379.88,1321.18,1153.35,Middle2
55,Albany Park,Single Family,43938,7265,7323,1295,1210.83,Middle3
72,Albany Park,Single Family,196872,26544,11580.71,1416.95,1397.05,Middle3
74,Albany Park,Single Family,177646,24229,9349.79,1425,1211.45,Middle3
80,Albany Park,Single Family,161216,19455,9483.29,1548.38,1215.94,Middle3
90,Albany Park,Single Family,93112,15625,8464.73,1623.08,1302.08,Middle3
98,Albany Park,Single Family,117171,16987,8369.36,1157.87,1132.47,Middle2
104,Albany Park,Single Family,176316,20220,9795.33,1552.94,1123.33,Middle3
105,Albany Park,Single Family,148860,22046,8756.47,1633.72,1224.78,Middle3
111,Albany Park,Single Family,155804,15683,9737.75,1166.36,1120.21,Middle1
112,Albany Park,Single Family,90825,14064,7568.75,1126.83,1172,Middle2
115,Albany Park,Commercial,28999,3536,9666.33,912.33,1178.67,Middle3
117,Albany Park,Single Family,91598,14953,8327.09,1450.08,1246.08,Middle3
122,Albany Park,Single Family,18972,2600,9486,1535,1300,Middle2
134,Albany Park,Single Family,92449,12398,8404.45,1161,1127.09,Middle3
136,Albany Park,Single Family,119944,18231,9226.46,1350.07,1302.21,Middle3
140,Albany Park,Single Family,89647,11633,8964.7,1259,1163.3,Middle3
141,Albany Park,Single Family,35509,3561,11836.33,1231.33,1187,Ancient
144,Albany Park,Single Family,134826,15143,7930.94,1216.06,946.44,Middle3
145,Albany Park,Single Family,70882,13469,5906.83,1126.18,1224.45,Middle2
150,Albany Park,Single Family,104728,16295,8727.33,1230.31,1253.46,Middle3
154,Albany Park,Single Family,121883,21156,8125.53,1494.17,1175.33,Middle3
158,Albany Park,Single Family,126740,11681,11521.82,1338.4,1168.1,Middle3
160,Albany Park,Single Family,95958,12414,8723.45,1336,1128.55,Middle3
170,Albany Park,Single Family,108583,13978,9871.18,1274.58,1164.83,Middle2
172,Albany Park,Single Family,47576,5453,9515.2,1194.4,1090.6,Middle3
174,Albany Park,Single Family,87744,8500,12534.86,1094.71,1214.29,Middle3
176,Albany Park,Single Family,77867,9998,8651.89,1149.22,1110.89,Middle3
179,Albany Park,Single Family,66778,12194,8347.25,1260.2,1219.4,Middle3
190,Albany Park,Single Family,24812,3356,6203,1343.33,1118.67,Middle3
191,Albany Park,Single Family,75034,9212,10719.14,1325.86,1316,Middle3
198,Albany Park,Single Family,63517,6652,10586.17,1467.17,1330.4,Middle3
210,Albany Park,Single Family,14939,4256,4979.67,1277.33,1418.67,Middle3
220,Albany Park,Single Family,52763,9735,6595.38,1096.5,1216.88,Middle3
234,Archer Heights,Single Family,119952,21666,7497,1482,1203.67,Middle2
236,Archer Heights,Single Family,75325,11052,8369.44,1191.3,1105.2,Middle3
237,Archer Heights,Single Family,101188,15889,7227.71,1000.13,1059.27,Middle2
238,Archer Heights,Single Family,107289,18934,6311.12,971.75,1183.38,Middle2
246,Archer Heights,Single Family,93034,13010,10337.11,1411.6,1301,Middle1
247,Archer Heights,Single Family,117897,22360,6205.11,1134.95,1176.84,Middle1
249,Archer Heights,Single Family,129220,19418,8076.25,1224.58,1022,Middle2
251,Archer Heights,Single Family,145991,21627,9124.44,1054.38,1351.69,Middle1
255,Archer Heights,Single Family,104117,19528,8009,1411.07,1394.86,Middle2
267,Archer Heights,Single Family,72799,10711,8088.78,1280.44,1190.11,Middle3
271,Archer Heights,Single Family,93120,14529,10346.67,1155.69,1117.62,Middle2
273,Archer Heights,Single Family,23933,2459,11966.5,963.5,1229.5,Middle1
277,Archer Heights,Single Family,80798,12642,8079.8,1561.6,1264.2,Middle3
285,Archer Heights,Single Family,118521,15315,10774.64,1434.62,1178.08,Middle3
287,Archer Heights,Single Family,118143,19404,7876.2,1443.73,1293.6,Middle3
